"Pathways"	"Object ID"	"Reaction-List"
PWY-7815	"PWY-7815"	RXN-18030 // RXN-18029 // RXN-18018 // RXN-18017 // RXN-18016 // RXN-18015 // RXN-18014 // RXN-18013 // RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN // 2.7.7.40-RXN // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-7082	"PWY-7082"	AMMOXID-PWY // 1.10.2.2-RXN // RXN-13572
PWY-7743	"PWY-7743"	RXN-18532 // RXN-18052 // RXN-17282 // RXN-17281 // RXN-17280 // RXN-17279 // RXN-17278 // RXN-17277 // RXN-17249 // RXN-17258 // RXN-17251
PWY-6343	"PWY-6343"	4.2.1.101-RXN // 4.1.2.41-RXN // 6.2.1.34-RXN
PWY-7915	"PWY-7915"	RXN-18874 // RXN-18869 // RXN-18865 // RXN-18868 // RXN-18862 // RXN-18860 // RXN-18861
PWY-2242	"PWY-2242"	RXN-3483 // RXN-3482 // AMONITRO-RXN
PWY-5670	"PWY-5670"	RXN66-281 // RXN-12263 // SQUALENE-MONOOXYGENASE-RXN
PWY-6952	"PWY-6952"	RXN-15745 // GLYCPDIESTER-RXN
SERDEG-PWY	"SERDEG-PWY"	RXN-15127 // RXN-15124 // RXN-15125
PWY-7113	"PWY-7113"	RXN-13672
PWY-7818	"PWY-7818"	RXN-18053 // 2.4.1.157-RXN // RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN // 2.7.7.40-RXN // TRANS-RXN-319 // CHOLINE-KINASE-RXN // 2.7.7.15-RXN // TRANS-RXN-318 // RXN-18050 // RXN-18042 // RXN-18043 // RXN-18044 // RXN-18045 // RXN-18046 // RXN-18047 // RXN-18048 // RXN-18049 // RXN-18013 // RXN-18014
PWY-7746	"PWY-7746"	RXN-18540 // RXN-17323 // RXN-9549 // RXN3O-9780 // RXN-17320 // RXN-17319 // RXN-17317 // RXN-17318 // RXN-15426
SERSYN-PWY	"SERSYN-PWY"	RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
PWY-7576	"PWY-7576"	NITROGENASE-FLAVODOXIN-RXN
PWY-8003	"PWY-8003"	RXN-1126 // RXN-19743 // RXN-19744 // RXN-19745
P321-PWY	"P321-PWY"	RXN-8032 // 1.1.1.259-RXN // RXN-8031 // 1.3.1.62-RXN // 1.3.99.15-RXN // R268-RXN // R267-RXN // R266-RXN // R265-RXN
PWY-8053	"PWY-8053"	RXN-20511 // RXN-20514 // RXN-20512 // RXN-20513 // RXN-20563 // RXN-20552 // RXN-20551 // RXN-20553
PWY-6731	"PWY-6731"	PHOSPHOGLUCMUT-RXN // RXN-12181 // RXN-12171 // CYCLOMALTODEXTRINASE-RXN
GOLPDLCAT-PWY	"GOLPDLCAT-PWY"	PWY-6131 // PWY-6130
PWY-6129	"PWY-6129"	DOLICHOL-KINASE-RXN // RXN-9971 // RXN-9970 // RXN-9969
PWY-8011	"PWY-8011"	SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN // SERINE--PYRUVATE-AMINOTRANSFERASE-RXN // HYDROXYPYRUVATE-REDUCTASE-RXN // 3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN
PWY-5057	"PWY-5057"	RXN-7657 // RXN-7643 // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY-7046	"PWY-7046"	OHBENZCOARED-RXN // 4-HYDROXYBENZOATE--COA-LIGASE-RXN // RXN-13394 // RXN-13392 // RXN-11244 // 4-COUMARATE--COA-LIGASE-RXN
PWY-7467	"PWY-7467"	RXN-15377 // RXN-15376 // RXN-13252
CENTBENZCOA-PWY	"CENTBENZCOA-PWY"	RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN
PWY-8051	"PWY-8051"	RXN-20561 // RXN-20560 // RXN-20556 // RXN-20555 // RXN-20547 // RXN-20546 // RXN-20514 // RXN-20513 // RXN-20512 // RXN-20511 // RXN-20502 // RXN-20503
PWY-6724	"PWY-6724"	RXN-12391 // RXN-12384 // RXN-12280 // RXN-12279 // RXN-12278 // RXN-12277 // RXN-12276 // RXN-12204 // RXN-12203
PWY-8082	"PWY-8082"	RXN-19519 // RXN-20867
N2FIX-PWY	"N2FIX-PWY"	NITROGENASE-RXN
PWY-8002	"PWY-8002"	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-13394 // RXN-13392 // RXN-11244 // 4-COUMARATE--COA-LIGASE-RXN
PWY-1361	"PWY-1361"	RXN-2425 // RXN-11053 // RXN-11054 // RXN-3641 // RXN0-2044 // RXN-2424 // RXN-2401
PWY-6737	"PWY-6737"	PHOSPHOGLUCMUT-RXN // RXN-12193 // RXN-12171 // RXN-12190
PWY-6131	"PWY-6131"	GLYCERONE-KINASE-RXN // GLYCDEH-RXN
PWY-7686	"PWY-7686"	1.1.1.39-RXN
VALDEG-PWY	"VALDEG-PWY"	RXN-11213 // 2.6.1.22-RXN // 1.2.1.25-RXN // 3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN // 3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN // METHYLACYLYLCOA-HYDROXY-RXN // MEPROPCOA-FAD-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY-7817	"PWY-7817"	RXN-16648 // RXN-18039 // RXN-18013 // RXN-18014 // RXN-18038 // RXN-18037 // TRANS-RXN-316 // RXN-18036 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // CDPDIGLYSYN-RXN // DIACYLGLYKIN-RXN // RXN-18035 // TRANS-RXN-315 // GLUC1PURIDYLTRANS-RXN // RXN-15117
PWY-2381	"PWY-2381"	R365-RXN // R364-RXN
PWY-6735	"PWY-6735"	RXN-12188 // CYCLOMALTODEXTRINASE-RXN // RXN-12181
PWY-7053	"PWY-7053"	RXN-16102 // RXN-12797 // RXN-13445 // RXN-13444 // RXN-13443 // RXN-13442 // RXN-17688
PWY-7290	"PWY-7290"	GLCNACPTRANS-RXN // RXN-14572 // RXN-14560 // RXN-14561 // RXN-14562 // RXN-14563
PWY-301	"PWY-301"	R282-RXN // R281-RXN
PWY-7727	"PWY-7727"	RXN-17119 // RXN-16103 // RXN-13445 // RXN-13444 // RXN-13443 // RXN-13442
PWY-5648	"PWY-5648"	1.14.12.1-RXN // RXN-8848 // RXN-8847
GLYCEROLMETAB-PWY	"GLYCEROLMETAB-PWY"	2.7.1.121-RXN // GLYCDEH-RXN
PWY-7606	"PWY-7606"	RXN-16103 // RXN-16137 // RXN-16136 // RXN-16135 // RXN-16134 // RXN-16132 // RXN-16131 // RXN-16130 // RXN-16129 // RXN-16082 // RXN-13445 // RXN-13444 // RXN-13443 // RXN-13442
PWY-8085	"PWY-8085"	MALEATE-ISOMERASE-RXN // RXN-646 // RXN-11318 // 1.13.11.9-RXN // RXN-20885 // RXN-20886 // RXN-20887
PWY-7585	"PWY-7585"	RXN-16017
TEICHOICACID-PWY	"TEICHOICACID-PWY"	RXN-18013 // RXN-18014 // RXN-18028 // 6.3.2.16-RXN // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN4-RXN // TEICHOICSYN8-RXN // TEICHOICSYN5-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-7620	"PWY-7620"	RXN-16239 // RXN-15001 // RXN-15000 // RXN-14999
PWY-5647	"PWY-5647"	PWY-5654 // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN // 1.13.11.6-RXN // RXN-8846 // RXN-8847
PWY0-1298	"PWY0-1298"	PWY-7180 // PWY-7181
PWY-7905	"PWY-7905"	RXN-14705 // RXN-14706 // RXN-18776 // RXN-18775 // RXN-18774 // RXN-18773 // RXN-18772 // RXN-18771 // GLCNACPTRANS-RXN
PWY-5177	"PWY-5177"	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN
